"Country Region","Package Id",Type,"Net Price","Minimum selling price",Data,SMS,Voice,Networks
"United Kingdom",uki-mobile-plus-in-30days-10gb-topup,topup,7.3,23.5,"10 GB",100,100,"EE [5G]"
"United Kingdom",uki-mobile-plus-in-30days-20gb,sim,11.4,38.5,"20 GB",200,200,"EE [5G]"
"United Kingdom",uki-mobile-plus-in-30days-20gb-topup,topup,11.4,38.5,"20 GB",200,200,"EE [5G]"
"United Kingdom",uki-mobile-plus-in-30days-50gb,sim,22.7,54,"50 GB",500,500,"EE [5G]"
"United Kingdom",uki-mobile-plus-in-30days-50gb-topup,topup,22.7,54,"50 GB",500,500,"EE [5G]"
"United Kingdom",uki-mobile-plus-7days-1gb,sim,1.8,5,"1 GB",10,10,"EE [5G]"
"United Kingdom",uki-mobile-plus-7days-1gb-topup,topup,1.8,5,"1 GB",10,10,"EE [5G]"
"United Kingdom",uki-mobile-plus-15days-2gb,sim,2.6,8,"2 GB",20,20,"EE [5G]"
"United Kingdom",uki-mobile-plus-15days-2gb-topup,topup,2.6,8,"2 GB",20,20,"EE [5G]"
Germany,hallo-mobil-7days-1gb,sim,1.6,4,"1 GB",0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-7days-1gb-topup,topup,1.6,4,"1 GB",0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-15days-2gb,sim,2.3,6.5,"2 GB",0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-15days-2gb-topup,topup,2.3,6.5,"2 GB",0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-30days-3gb,sim,2.8,8,"3 GB",0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-30days-3gb-topup,topup,2.8,8,"3 GB",0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-30days-5gb,sim,4,11.5,"5 GB",0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-30days-5gb-topup,topup,4,11.5,"5 GB",0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-30days-10gb,sim,5.9,16,"10 GB",0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-30days-10gb-topup,topup,5.9,16,"10 GB",0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-30days-20gb,sim,10,23.5,"20 GB",0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-30days-20gb-topup,topup,10,23.5,"20 GB",0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-3days-unlimited,sim,4.3,11.5,Unlimited,0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-3days-unlimited-topup,topup,4.3,11.5,Unlimited,0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-5days-unlimited,sim,7.7,19.5,Unlimited,0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-5days-unlimited-topup,topup,7.7,19.5,Unlimited,0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-7days-unlimited,sim,7.8,27,Unlimited,0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-7days-unlimited-topup,topup,7.8,27,Unlimited,0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-10days-unlimited,sim,12.2,35,Unlimited,0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-10days-unlimited-topup,topup,12.2,35,Unlimited,0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-15days-unlimited,sim,17.7,49,Unlimited,0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-15days-unlimited-topup,topup,17.7,49,Unlimited,0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-30days-unlimited,sim,34.2,72.5,Unlimited,0,0,"O2 [5G], Vodafone [5G]"
